"Name","Season","GamesPlayed","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Transition Take Fouls","Transition Take Fouls Drawn","Defensive 3 Seconds Violations","FoulsDrawn"
"NOP","2016-17",82,1490,731,75,111,71,45,57,45,55,61,2,0,0,19,1578
"CHI","2016-17",82,1455,704,97,104,80,40,69,30,30,40,2,0,0,21,1541
"CLE","2016-17",82,1486,739,83,90,90,56,105,40,49,51,0,0,0,9,1688
"CHA","2015-16",82,1487,778,93,99,101,30,113,49,40,35,1,0,0,21,1665
"ATL","2015-16",82,1570,774,99,77,65,58,75,49,44,51,2,0,0,18,1500
"DAL","2016-17",82,1567,770,93,91,87,21,131,84,134,101,2,0,0,13,1590
"DEN","2016-17",82,1567,759,104,112,86,52,50,43,64,75,3,0,0,21,1651
"ATL","2004-05",82,2009,933,120,0,164,0,0,0,0,0,5,0,0,25,0
"BOS","2004-05",82,2000,1004,95,0,170,0,0,0,0,0,2,0,0,29,0
"CLE","2004-05",82,1850,854,143,0,139,0,1,0,0,0,2,0,0,13,1
"HOU","2018-19",82,1803,793,148,89,103,39,87,57,0,0,3,0,0,15,1640
"MIA","2018-19",82,1712,791,119,109,139,38,82,39,0,0,3,0,0,14,1649
"MEM","2018-19",82,1801,803,115,112,110,49,107,46,0,0,2,0,0,18,1754
"ORL","2019-20",73,1336,623,61,76,96,45,74,34,0,0,2,0,0,9,1419
"GSW","2019-20",65,1304,598,66,62,81,26,87,38,0,0,2,0,0,6,1308
"HOU","2019-20",72,1566,739,106,81,88,57,85,62,0,0,3,0,0,6,1515
"MIL","2019-20",73,1431,650,79,77,128,76,111,42,0,0,2,0,0,19,1585
"OKC","2003-04",82,1784,817,153,0,161,0,0,0,0,0,3,0,0,42,0
"TOR","2003-04",82,1748,857,83,0,165,0,0,0,0,0,1,0,0,31,0
"MEM","2003-04",82,1903,848,128,0,173,0,0,0,0,0,0,0,0,16,0
"UTA","2003-04",82,2096,899,82,0,212,0,0,0,0,0,4,0,0,37,0
"WAS","2003-04",82,1711,764,117,0,167,0,0,0,0,0,1,0,0,20,0
"DET","2003-04",82,1663,693,97,0,179,0,0,0,0,0,1,0,0,11,0
"MEM","2015-16",82,1783,841,124,108,93,36,109,47,40,30,4,0,0,18,1729
"WAS","2015-16",82,1708,794,90,123,99,34,115,58,57,63,5,0,0,22,1648
